cellID,City,County,Province,pig,dairy_yield,beef_cattle_yield,othercattle,poultry,sheep_goat_yield,horse,mule_donkey,rabbit,egg,milk_yield,management_fishery
1,滁州,滁州经开区,Anhui,0,0,0,0,0,0,0,0,0,0,0,0
2,滁州,苏滁现代产业园,Anhui,0,0,0,0,0,0,0,0,0,0,0,0
3,荆门市,沙洋强戒所,Hubei,0.690462844,0,0,0,0,0,0,0,0,0,0,0.009336766
4,宿州,宿州市经开区,Anhui,0,0,0,0,0.827344833,0.134368162,0,0,0,0.012410172,0,0
5,北京,北京市区,Beijing,0,0,0,0,0,0,0,0,0,0,0,0
6,北京,朝阳区,Beijing,0,0.006419861,0,0,0,0,0,0,0,0,0.0286,0.0341
7,主城片区,渝中区,Chongqing,0,0,0,0,0,0,0,0,0,0,0,0
8,佛山市,禅城区,Guangdong,0,0,0,0,0,0,0,0,0,0,0,0.3293
9,广州,荔湾区,Guangdong,0,0,0,0,0,0,0,0,0,0,0,0.0032
10,广州,越秀区,Guangdong,0,0,0,0,0,0,0,0,0,0,0,0
11,广州,海珠区,Guangdong,0,0,0,0,0,0,0,0,0,0,0,0.3292
12,广州,天河区,Guangdong,0,0,0,0,0,0,0,0,0,0,0,0.3762
13,汕尾市,华侨管理区,Guangdong,0,0,0,0,0,0,0,0,0,0,0,0
14,深圳市,福田区,Guangdong,0,0,0,0,0,0,0,0,0,0,0,0.8717
15,深圳市,罗湖区,Guangdong,0,0,0,0,0,0,0,0,0,0,0,0.8717
16,深圳市,盐田区,Guangdong,0,0,0,0,0,0,0,0,0,0,0,0.8717
17,深圳市,南山区,Guangdong,0,0,0,0,0,0,0,0,0,0,0,0
18,深圳市,深圳龙华区,Guangdong,0,0,0,0,0,0,0,0,0,0,0,0
19,深圳市,宝安区,Guangdong,0,0,0,0,0,0.010999847,0,0,0,0,0,0.8717
20,阳江市,阳江高新区,Guangdong,1.528199094,0,0,0,0,0,0,0,0,0,0,0
21,肇庆市,肇庆高新区,Guangdong,8.21629513,0,0,0,0,0,0,0,0,0,0,0
22,贵阳市,云岩区,Guizhou,0.634181829,0,0.002655505,0,0,0.002288623,0.000682741,0,0,0.010886879,0,0.030392883
23,沧州,沧州高新区,Hebei,0,0,0,0,0,0,0,0,0,0,0,0
24,廊坊,廊坊开发区,Hebei,0,0,0,0,0,0,0.004584305,0.023594231,0.019997689,0,0,0
25,石家庄,石家庄新华区,Hebei,0,0,0,0,0.18,0.100000814,0,0,0,0,0,0
26,张家口,察北管理区,Hebei,0.53,2.069157163,0.42,0,0,2.24001824,0,0,0,0,16.18,0
27,张家口,塞北管理区,Hebei,0.05,1.514609179,0.27,0,0.1,0.640005211,0,0.000497942,0,0,11.52,0
28,佳木斯市,向阳区,Heilongjiang,1.890016538,0.01109545,0.01009327,0,0.104080031,0.009850821,0.056966462,0.008088842,0.004379567,0,0.051371911,0
29,安阳,安阳新区,Henan,0,0,0,0,0,0,0,0,0,0,0,0
30,鹤壁,鹤壁开发区,Henan,1.21923511,0,0.000266836,0,24.86616384,0.109460774,0,0,0,0.279485013,0,0
31,平顶山,平顶山高新区,Henan,3.726922269,0,0.004883709,0,4.00055465,0.097944504,0,0,0.018238707,0.090825309,0.005501791,0
32,平顶山,平顶山新城区,Henan,1.885912473,0,0,0,5.05839362,0.568078126,0,0,0,0.117000659,0,0
33,濮阳,濮阳工业园区,Henan,0,0,0,0,0,0,0,0,0,0,0,0
34,省直管县,滑县,Henan,39.45829355,0,0.97995811,0,1738.978452,16.02966768,0.0126294,0.069834677,0,10.73046641,0,0
35,周口,周口开发区,Henan,0,0,0,0,0,0,0,0,0,0,0,0
36,十堰市,茅箭区,Hubei,1.859859917,0,0,0,0,0.779926428,0,0,0,0,0.026073539,0.000674947
37,怀化市,洪江市,Hunan,2.241334735,0,0,0,0,0,0,0,1.456760935,0.065349442,0,0.830116779
38,岳阳市,南湖度假村,Hunan,0,0,0,0,0,0,0,0,0,0,0,0
39,长沙市,芙蓉区,Hunan,0,0,0,0,0,0,0,0,0,0,0,0.005571254
40,锡林郭勒盟,阿巴嘎旗,Inner Mongolia,0.032495556,1.07990125,6.33819474,0,0,94.04469398,1.590007779,0,0,0,4.418545271,0.1345
41,锡林郭勒盟,苏尼特右旗,Inner Mongolia,0.012864809,0.335536088,2.264770841,0,0,60.76156596,0.803480127,0.057075857,0,0,0.056110494,0.0055
42,锡林郭勒盟,镶黄旗,Inner Mongolia,0.01248363,0.247275022,1.402595887,0,0,20.9635941,0.217277005,0.005293325,0,0,0.549686586,0.0125
43,南京,雨花台区,Jiangsu,0,0,0,0,0,0,0,0,0,0,0,0.158489555
44,景德镇市,珠山区,Jiangxi,1.609928675,0,0,0,0.924661236,0.019652929,0,0,0,0.003276404,0,0.018
45,南昌市,南昌西湖区,Jiangxi,0,0,0,0,0,0,0,0,0,0,0,0
46,南昌市,青云谱区,Jiangxi,0,0,0,0,0,0,0,0,0,0,0,0
47,萍乡市,萍乡经济技术开发区,Jiangxi,0,0,0,0,0,0,0,0,0,0,0,0
48,阜新市,阜新开发区,Liaoning,0.275541751,0.001681017,0.013021064,0,0.250322954,0.227250754,0,0,0,0.002247423,0.006855852,0
49,辽阳市,宏伟区,Liaoning,0,0.033827053,0,0,49.44380504,0,0,0,0,0.444551897,0.137960121,0
50,果洛州,玛沁县,Qinghai,0,0.463990998,1.835053872,0,0,16.162372,0.204473684,0.000735294,0.15,0,0.608635965,0
51,果洛州,班玛县,Qinghai,0,0.346596394,2.404666672,0,0,0.98266655,0.204473684,0.000735294,0.15,0,0.454644663,0
52,果洛州,甘德县,Qinghai,0,0.215262651,1.485509409,0,0,5.390759129,0.204473684,0.000735294,0.15,0,0.282368822,0
