cellID,City,County,Province,single_N_fertilizer,single_P_fertilizer,N_ratio_compound_fertilizer,P_ratio_compound_fertilizer,wet_deposition_rate,dry_deposition_rate,compound_fertilizer,nonbeans_sown_area,rice_sown_area,wheat_sown_area,maize_sown_area,millet_sown_area,sorghum_sown_area,othercereals_sown_area,beans_sown_area,potato_sown_area,peanut_sown_area,rapeseed_sown_area,cotton_sown_area,flax_sown_area,sugarcane_sown_area,sugarbeet_sown_area,tobacoo_sown_area,vegetable_sown_area,fruittree_sown_area,greenfodder_sown_area,managedgrass_sown_area,naturalgrass_sown_area,rice_yield,wheat_yield,maize_yield,millet_yield,sorghum_yield,othercereals_yield,beans_yield,potato_yield,peanut_yield,rapeseed_yield,cotton_yield,flax_yield,sugarcane_yield,sugarbeet_yield,tobacoo_yield,vegetable_yield,fruittree_yield,arableland,greenmanure_sown_area,rice_straw_to_field,wheat_straw_to_field,maize_straw_to_field,beans_straw_to_field,potato_straw_to_field,cotton_straw_to_field,peanut_straw_to_field,rapeseed_straw_to_field,sugarcane_straw_to_field,tobacoo_straw_to_field,rice_straw_burned,wheat_straw_burned,maize_straw_burned,beans_straw_burned,potato_straw_burned,cotton_straw_burned,peanut_straw_burned,rapeseed_straw_burned,sugarcane_straw_burned,tobacoo_straw_burned,rice_straw_to_feed,wheat_straw_to_feed,maize_straw_to_feed,beans_straw_to_feed,potato_straw_to_feed,cotton_straw_to_feed,peanut_straw_to_feed,rapeseed_straw_to_feed,sugarcane_straw_to_feed,tobacoo_straw_to_feed,NH3_ratio_fertilizer,NH3_ratio_animal_manure_field,NH3_ratio_human_manure_field,N2O_ratio_fertilizer
1,滁州,滁州经开区,Anhui,0.1988,0.2013,0.333333333,0.333333333,18.2,18.7,0.0842,2.791604862,1.080534637,1.363481069,0.262886335,0,0,0,0,0,0,0.084702821,0,0,0,0,0,0,0,0,0,0,0.6943,0.5888,0.1309,0,0,0,0,0,0,0.0223,0,0,0,0,0,0,0,0,0,67.75,57.21,53.95,61.44,61.44,61.44,61.44,61.63,61.44,61.44,25.02,20.9,16.16,31.79,31.79,31.79,31.79,31.79,31.79,31.79,7.23,21.89,29.89,6.77,6.77,6.77,6.77,6.58,6.77,6.77,13.56366244,0,0,0.91
2,滁州,苏滁现代产业园,Anhui,0.0276,0.0063,0.333333333,0.333333333,18.2,18.7,0.0115,0.621746248,0.456917528,0.153584983,0,0,0,0,0,0,0,0.011243737,0,0,0,0,0,0,0,0,0,0,0.2938,0.0674,0,0,0,0,0,0,0,0.0035,0,0,0,0,0,0,0,0,0,67.75,57.21,53.95,61.44,61.44,61.44,61.44,61.63,61.44,61.44,25.02,20.9,16.16,31.79,31.79,31.79,31.79,31.79,31.79,31.79,7.23,21.89,29.89,6.77,6.77,6.77,6.77,6.58,6.77,6.77,13.93801531,0,0,0.91
3,荆门市,沙洋强戒所,Hubei,0.019997535,0.001000667,0.333333333,0.333333333,18.2,18.7,0.021993925,1.057251821,0.585134379,0.250253938,0.043207767,0.00166968,0,0.176986057,0.449291791,0,0,0,0,0,0,0,0,0,0,0,0,0,0.387375042,0.082542591,0.029969045,0,0,0.056769113,0.057136661,0,0,0,0,0,0,0,0,0,0,0,0,55.69,64.31,41.76,85,56.58,4.86,90,51.34,56.58,56.58,19.32,32.38,33.04,15,33.04,10.6,5,48.66,33.04,33.04,24.99,3.31,25.2,0,10.38,84.54,5,0,10.38,10.38,17.09105746,6.909996588,6.909996588,0.82
4,宿州,宿州市经开区,Anhui,0.0381,0.0167,0.333333333,0.333333333,18.2,18.7,0.0679,1.114609464,0,0.701629238,0.309278041,0,0,0,0.193667557,0,0.072714185,0.00599666,0,0,0,0,0,0.097705525,0,0,0,0,0,0.4524,0.198,0,0,0,0.031,0.2175,0.022,0.0015,0,0,0,0,0,0.453,0,0,0,67.75,57.21,53.95,61.44,61.44,61.44,61.44,61.63,61.44,61.44,25.02,20.9,16.16,31.79,31.79,31.79,31.79,31.79,31.79,31.79,7.23,21.89,29.89,6.77,6.77,6.77,6.77,6.58,6.77,6.77,23.5293882,11.50939384,11.50939384,0.91
5,北京,北京市区,Beijing,0,0,0.333333333,0.333333333,18.2,18.7,0,0.028427618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028427618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04663,0,0.432633059,0,78.72,89.98,76.43,78.72,78.72,18.63,78.72,78.72,78.72,78.72,3.96,8.38,11.82,21.28,10.38,41.27,8,10.38,10.38,10.38,17.32,1.64,11.75,0,10.9,40.1,13.28,10.9,10.9,10.9,0,0,0,0.67
6,北京,朝阳区,Beijing,0,0,0.333333333,0.333333333,18.2,18.7,0,0.199092604,0,0,0.001678592,0,0,0,0,0,0,0,0,0,0,0,0,0.197414012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4811,0.078909158,4.51399998,0,78.72,89.98,76.43,78.72,78.72,18.63,78.72,78.72,78.72,78.72,3.96,8.38,11.82,21.28,10.38,41.27,8,10.38,10.38,10.38,17.32,1.64,11.75,0,10.9,40.1,13.28,10.9,10.9,10.9,0,9.099228285,9.099228285,0.67
7,主城片区,渝中区,Chongqing,0,0,0.333333333,0.333333333,18.2,18.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217530755,0,63.64,40.55,42.36,45.75,49.43,48.01,48.01,31.85,15,5,9.73,31.01,31.22,8,15.89,22.11,22.11,59.98,23.47,76.66,26.63,28.44,26.42,46.25,34.68,29.88,29.88,8.17,61.53,18.34,0,0,0,0.74
8,佛山市,禅城区,Guangdong,0.002277414,0.000260025,0.333333333,0.333333333,18.2,18.7,0.002212881,0.998977358,0,0,0,0,0,0,0.022357258,0,0,0,0,0,0,0,0,0.068999803,0,0.929977555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.307675476,0,1.705516628,0,77.43,64.08,39.49,67.93,76.18,64.08,49.59,64.08,64.08,64.08,20.41,15.3,15.3,30.95,15.3,15.3,32.92,15.3,15.3,15.3,2.16,20.62,45.21,1.12,8.52,20.62,17.49,20.62,20.62,20.62,23.55907412,0,0,0.82
9,广州,荔湾区,Guangdong,0,0,0.333333333,0.333333333,18.2,18.7,0.045364057,0.32220062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265995984,0,0.056204636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.396699988,0,0.333913078,0.016,77.43,64.08,39.49,67.93,76.18,64.08,49.59,64.08,64.08,64.08,20.41,15.3,15.3,30.95,15.3,15.3,32.92,15.3,15.3,15.3,2.16,20.62,45.21,1.12,8.52,20.62,17.49,20.62,20.62,20.62,0,0,0,0.82
10,广州,越秀区,Guangdong,0,0,0.333333333,0.333333333,18.2,18.7,0,0.056204636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056204636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147833539,0.016,77.43,64.08,39.49,67.93,76.18,64.08,49.59,64.08,64.08,64.08,20.41,15.3,15.3,30.95,15.3,15.3,32.92,15.3,15.3,15.3,2.16,20.62,45.21,1.12,8.52,20.62,17.49,20.62,20.62,20.62,0,0,0,0.82
11,广州,海珠区,Guangdong,0.011614225,0.00060698,0.333333333,0.333333333,18.2,18.7,0.022239452,1.586192347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.601990912,0.927996799,0.056204636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.100699965,0.659362281,1.041770046,0.016,77.43,64.08,39.49,67.93,76.18,64.08,49.59,64.08,64.08,64.08,20.41,15.3,15.3,30.95,15.3,15.3,32.92,15.3,15.3,15.3,2.16,20.62,45.21,1.12,8.52,20.62,17.49,20.62,20.62,20.62,32.93142736,0,0,0.82
12,广州,天河区,Guangdong,0.002163434,8.67E-05,0.333333333,0.333333333,18.2,18.7,0.009294099,0.714195553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.584991169,0.072999748,0.056204636,0,0,0,0,0,0,0,0,0,0,0.0291,0,0,0,0,0,0,0.94189997,0.028366653,1.608524772,0.016,77.43,64.08,39.49,67.93,76.18,64.08,49.59,64.08,64.08,64.08,20.41,15.3,15.3,30.95,15.3,15.3,32.92,15.3,15.3,15.3,2.16,20.62,45.21,1.12,8.52,20.62,17.49,20.62,20.62,20.62,6.602412257,0,0,0.82
